job_title,job_link,company_name,company_profile_link,job_location,job_published_date,job_description
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4174670975?position=2&pageNum=10&refId=fNgQwQF0%2Fij%2B%2Fkiat1YXFQ%3D%3D&trackingId=aZ0z0XijgEdtI0QKhYI9RA%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4174086644?position=3&pageNum=10&refId=fNgQwQF0%2Fij%2B%2Fkiat1YXFQ%3D%3D&trackingId=chuPLoE1g%2BIbmQy6X9WAvQ%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Business Analyst,https://qa.linkedin.com/jobs/view/business-analyst-at-virtusa-4143786995?position=4&pageNum=10&refId=fNgQwQF0%2Fij%2B%2Fkiat1YXFQ%3D%3D&trackingId=qnfwTHq10rd3NML0cvpnaQ%3D%3D,Virtusa,https://www.linkedin.com/company/virtusa?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Doha, Qatar",2025-02-28,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4174084835?position=5&pageNum=10&refId=fNgQwQF0%2Fij%2B%2Fkiat1YXFQ%3D%3D&trackingId=0UjqwPOD%2BKyoEMGj%2FnMLcw%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Teaching Assistant in Cyber Security-2025,https://qa.linkedin.com/jobs/view/teaching-assistant-in-cyber-security-2025-at-community-college-of-qatar-4156930206?position=6&pageNum=10&refId=fNgQwQF0%2Fij%2B%2Fkiat1YXFQ%3D%3D&trackingId=AZuIN%2FHx7s7PqwAYvltnog%3D%3D,Community College of Qatar,https://qa.linkedin.com/school/community-college-of-qatar/?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Qatar",2025-02-18,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4174089146?position=7&pageNum=10&refId=fNgQwQF0%2Fij%2B%2Fkiat1YXFQ%3D%3D&trackingId=wasdFwws4p%2Fdv8%2Fv9W9H3A%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
University Intern-MEA,https://qa.linkedin.com/jobs/view/university-intern-mea-at-marriott-international-4139586840?position=8&pageNum=10&refId=fNgQwQF0%2Fij%2B%2Fkiat1YXFQ%3D%3D&trackingId=0sCgCGPxVkwTUZ3c1EmXEQ%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Doha, Qatar",2025-02-21,Description not available
Data Analyst,https://qa.linkedin.com/jobs/view/data-analyst-at-nandi-impex-4157264828?position=9&pageNum=10&refId=fNgQwQF0%2Fij%2B%2Fkiat1YXFQ%3D%3D&trackingId=trgJAhRML4DX5Y6vnvNxxg%3D%3D,Nandi Impex,https://www.linkedin.com/company/nandi-impex?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Doha, Qatar",2025-02-20,Description not available
Technical Consultant,https://qa.linkedin.com/jobs/view/technical-consultant-at-jaidah-group-4162983545?position=10&pageNum=10&refId=fNgQwQF0%2Fij%2B%2Fkiat1YXFQ%3D%3D&trackingId=lgzv3B9C1K%2B%2FtjswXOzidA%3D%3D,Jaidah Group,https://qa.linkedin.com/company/jaidahgroup?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Qatar",2025-02-25,Description not available
Engineer-Technician-HVAC,https://qa.linkedin.com/jobs/view/engineer-technician-hvac-at-marriott-international-4158845741?position=1&pageNum=12&refId=ZTURbMvCm4h9dwNfvF%2BfAQ%3D%3D&trackingId=ROkIS1PlOdTE%2FYlKvwRgbA%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Doha, Qatar",2025-02-19,Description not available
Reliability Engineer,https://qa.linkedin.com/jobs/view/reliability-engineer-at-qafco-qatar-fertiliser-company-4077655205?position=2&pageNum=12&refId=ZTURbMvCm4h9dwNfvF%2BfAQ%3D%3D&trackingId=ZvuwCeViKrxislECTJAbug%3D%3D,QAFCO (Qatar Fertiliser Company),https://qa.linkedin.com/company/qafco?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mesaieed, Al Wakrah, Qatar",2024-11-19,Description not available
Officer - Risk Engineer,https://qa.linkedin.com/jobs/view/officer-risk-engineer-at-course-4141613001?position=3&pageNum=12&refId=ZTURbMvCm4h9dwNfvF%2BfAQ%3D%3D&trackingId=znvKWACyhH9wp06Fx%2BNtig%3D%3D,Course,https://www.linkedin.com/company/confidential-careers-apac?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Qatar",2025-02-04,Description not available
Engineer II,https://qa.linkedin.com/jobs/view/engineer-ii-at-marriott-international-4174087435?position=4&pageNum=12&refId=ZTURbMvCm4h9dwNfvF%2BfAQ%3D%3D&trackingId=xZ275OLNiGdCDH1w5FsUEw%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Engineer-Technician-HVAC,https://qa.linkedin.com/jobs/view/engineer-technician-hvac-at-marriott-international-4158843977?position=5&pageNum=12&refId=ZTURbMvCm4h9dwNfvF%2BfAQ%3D%3D&trackingId=06kNbyDpdRg2ARrnCwFt5A%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Doha, Qatar",2025-02-19,Description not available
